Id,Weekly_Sales
1_1_2012-11-02,18378.16
1_1_2012-11-09,16347.6
1_1_2012-11-16,18689.54
1_1_2012-11-23,20911.25
1_1_2012-11-30,18689.54
1_1_2012-12-07,16567.69
1_1_2012-12-14,25293.49
1_1_2012-12-21,45773.03
1_1_2012-12-28,46788.75
1_1_2013-01-04,46788.75
1_1_2013-01-11,22764.01
1_1_2013-01-18,46788.75
1_1_2013-01-25,22366.88
1_1_2013-02-01,23510.49
1_1_2013-02-08,23510.49
1_1_2013-02-15,18689.54
1_1_2013-02-22,16347.6
1_1_2013-03-01,46788.75
1_1_2013-03-08,18378.16
1_1_2013-03-15,27390.81
1_1_2013-03-22,19050.66
1_1_2013-03-29,18689.54
1_1_2013-04-05,18689.54
1_1_2013-04-12,19050.66
1_1_2013-04-19,19050.66
1_1_2013-04-26,18378.16
1_1_2013-05-03,19050.66
1_1_2013-05-10,16347.6
1_1_2013-05-17,20113.03
1_1_2013-05-24,16633.41
1_1_2013-05-31,16065.49
1_1_2013-06-07,18947.81
1_1_2013-06-14,16286.4
1_1_2013-06-21,16286.4
1_1_2013-06-28,15731.18
1_1_2013-07-05,16286.4
1_1_2013-07-12,15731.18
1_1_2013-07-19,16963.55
1_1_2013-07-26,16963.55
1_2_2012-11-02,48577.08
1_2_2012-11-09,50581.06
1_2_2012-11-16,47080.12
1_2_2012-11-23,44259.59
1_2_2012-11-30,47425.29
1_2_2012-12-07,45928.14
1_2_2012-12-14,44411.23
1_2_2012-12-21,65615.36
1_2_2012-12-28,65615.36
1_2_2013-01-04,41556.23
1_2_2013-01-11,43464.482
1_2_2013-01-18,51137.42
1_2_2013-01-25,41556.23
1_2_2013-02-01,45008.22
1_2_2013-02-08,54322.24
1_2_2013-02-15,50581.06
1_2_2013-02-22,50501.3
1_2_2013-03-01,47425.29
1_2_2013-03-08,43464.482
1_2_2013-03-15,47346.32
1_2_2013-03-22,50501.3
1_2_2013-03-29,47425.29
1_2_2013-04-05,44936.47
1_2_2013-04-12,43464.482
1_2_2013-04-19,43464.482
1_2_2013-04-26,43464.482
1_2_2013-05-03,47425.29
1_2_2013-05-10,44411.23
1_2_2013-05-17,50995.5
1_2_2013-05-24,49439.58
1_2_2013-05-31,47425.29
1_2_2013-06-07,45108.22
1_2_2013-06-14,50995.5
1_2_2013-06-21,47344.5
1_2_2013-06-28,47344.5
1_2_2013-07-05,45008.22
1_2_2013-07-12,45108.22
1_2_2013-07-19,45108.22
1_2_2013-07-26,42354.72
1_3_2012-11-02,8622.72
1_3_2012-11-09,20126.95
1_3_2012-11-16,8473.71
1_3_2012-11-23,9317.56
1_3_2012-11-30,8473.71
1_3_2012-12-07,10502.4
1_3_2012-12-14,13667.88
1_3_2012-12-21,13180.05
1_3_2012-12-28,10613.17
1_3_2013-01-04,13667.88
1_3_2013-01-11,13180.05
1_3_2013-01-18,10613.17
1_3_2013-01-25,10613.17
1_3_2013-02-01,10613.17
1_3_2013-02-08,12388.85
1_3_2013-02-15,12388.85
1_3_2013-02-22,11925.71
1_3_2013-03-01,10655.35
