Id,Weekly_Sales
1_1_2012-11-02,23543.8519648
1_1_2012-11-09,21536.7556486
1_1_2012-11-16,23369.37075
1_1_2012-11-23,92687.2364807
1_1_2012-11-30,34112.2282925
1_1_2012-12-07,17553.8894146
1_1_2012-12-14,25162.3725828
1_1_2012-12-21,40145.2717432
1_1_2012-12-28,33289.9257276
1_1_2013-01-04,16737.2355645
1_1_2013-01-11,14512.9117733
1_1_2013-01-18,28615.2634739
1_1_2013-01-25,25304.3738488
1_1_2013-02-01,21319.8242594
1_1_2013-02-08,43071.9590277
1_1_2013-02-15,69451.2107272
1_1_2013-02-22,30604.6298101
1_1_2013-03-01,35572.7236241
1_1_2013-03-08,32292.6104987
1_1_2013-03-15,27114.1287011
1_1_2013-03-22,26598.9269111
1_1_2013-03-29,32086.393432
1_1_2013-04-05,26344.5072069
1_1_2013-04-12,24901.6912776
1_1_2013-04-19,23399.5298533
1_1_2013-04-26,23565.6905686
1_1_2013-05-03,22989.6007965
1_1_2013-05-10,22049.7121487
1_1_2013-05-17,23207.5873241
1_1_2013-05-24,25246.1294534
1_1_2013-05-31,19687.7754532
1_1_2013-06-07,17439.836556
1_1_2013-06-14,19418.3934962
1_1_2013-06-21,17830.1402027
1_1_2013-06-28,14206.8126258
1_1_2013-07-05,20816.4198128
1_1_2013-07-12,15146.5967259
1_1_2013-07-19,17270.8227119
1_1_2013-07-26,17319.4391563
1_2_2012-11-02,45104.7036189
1_2_2012-11-09,47411.0633365
1_2_2012-11-16,45791.3751874
1_2_2012-11-23,100096.44335
1_2_2012-11-30,47659.1274997
1_2_2012-12-07,47002.709463
1_2_2012-12-14,44545.0786175
1_2_2012-12-21,64719.5957321
1_2_2012-12-28,47119.5213742
1_2_2013-01-04,40748.6323712
1_2_2013-01-11,41494.4248729
1_2_2013-01-18,44462.4652272
1_2_2013-01-25,43815.770013
1_2_2013-02-01,45581.2334685
1_2_2013-02-08,58579.8211435
1_2_2013-02-15,66613.3055425
1_2_2013-02-22,52103.6590708
1_2_2013-03-01,48247.0606801
1_2_2013-03-08,46865.8830805
1_2_2013-03-15,44857.4850595
1_2_2013-03-22,48880.2133854
1_2_2013-03-29,49023.3194417
1_2_2013-04-05,48387.7645217
1_2_2013-04-12,45164.7866472
1_2_2013-04-19,44967.8447367
1_2_2013-04-26,43780.7550538
1_2_2013-05-03,44365.8973034
1_2_2013-05-10,46647.1208212
1_2_2013-05-17,49493.8485454
1_2_2013-05-24,50600.6321259
1_2_2013-05-31,45060.5555568
1_2_2013-06-07,44998.5802638
1_2_2013-06-14,48345.6823814
1_2_2013-06-21,46941.0381381
1_2_2013-06-28,44765.7834317
1_2_2013-07-05,49805.8764766
1_2_2013-07-12,44950.0049652
1_2_2013-07-19,45147.2665315
1_2_2013-07-26,42835.9608428
1_3_2012-11-02,8771.2277838
1_3_2012-11-09,13409.8834886
1_3_2012-11-16,7527.33578497
1_3_2012-11-23,-154310.727745
1_3_2012-11-30,-17738.2458289
1_3_2012-12-07,15139.1806431
1_3_2012-12-14,8015.57400834
1_3_2012-12-21,19061.390427
1_3_2012-12-28,8391.4207187
1_3_2013-01-04,9696.7016944
1_3_2013-01-11,7550.07993314
1_3_2013-01-18,5363.35838754
1_3_2013-01-25,9061.39392641
1_3_2013-02-01,8106.2918293
1_3_2013-02-08,15245.2718895
1_3_2013-02-15,12963.1901278
1_3_2013-02-22,9911.4807455
1_3_2013-03-01,3934.38883295
1_3_2013-03-08,5370.03147109
1_3_2013-03-15,6851.81150114
1_3_2013-03-22,6504.01928479
1_3_2013-03-29,2710.61089511
1_3_2013-04-05,4933.87503043
1_3_2013-04-12,9940.14459006
1_3_2013-04-19,11022.5192884
1_3_2013-04-26,8232.76494707
1_3_2013-05-03,10715.8019769
1_3_2013-05-10,14513.8247148
1_3_2013-05-17,15353.1910702
1_3_2013-05-24,1984.84195056
1_3_2013-05-31,11165.4916124
1_3_2013-06-07,15717.360188
1_3_2013-06-14,14275.1338561
1_3_2013-06-21,15307.6907518
1_3_2013-06-28,19053.2190362
1_3_2013-07-05,2282.90132434
1_3_2013-07-12,16186.3227226
1_3_2013-07-19,15129.2021479
1_3_2013-07-26,14710.9697965
1_4_2012-11-02,36014.3147737
1_4_2012-11-09,38227.8131341
