Id,Weekly_Sales
1_1_2012-11-02,18164.2
1_1_2012-11-09,17823.37
1_1_2012-11-16,16633.41
1_1_2012-11-23,15722.82
1_1_2012-11-30,16347.6
1_1_2012-12-07,16286.4
1_1_2012-12-14,16963.55
1_1_2012-12-21,18164.2
1_1_2012-12-28,16567.69
1_1_2013-01-04,16567.69
1_1_2013-01-11,16567.69
1_1_2013-01-18,16963.55
1_1_2013-01-25,18378.16
1_1_2013-02-01,15731.18
1_1_2013-02-08,16628.31
1_1_2013-02-15,16628.31
1_1_2013-02-22,16628.31
1_1_2013-03-01,18164.2
1_1_2013-03-08,16065.49
1_1_2013-03-15,16963.55
1_1_2013-03-22,16119.92
1_1_2013-03-29,21140.07
1_1_2013-04-05,18689.54
1_1_2013-04-12,16348.06
1_1_2013-04-19,16348.06
1_1_2013-04-26,18365.1
1_1_2013-05-03,18378.16
1_1_2013-05-10,16286.4
1_1_2013-05-17,16119.92
1_1_2013-05-24,16566.18
1_1_2013-05-31,18378.16
1_1_2013-06-07,15722.82
1_1_2013-06-14,16119.92
1_1_2013-06-21,16566.18
1_1_2013-06-28,16348.06
1_1_2013-07-05,15731.18
1_1_2013-07-12,16566.18
1_1_2013-07-19,15722.82
1_1_2013-07-26,18378.16
1_2_2012-11-02,43991.18
1_2_2012-11-09,44936.47
1_2_2012-11-16,46075.0
1_2_2012-11-23,44259.59
1_2_2012-11-30,42112.67
1_2_2012-12-07,44411.23
1_2_2012-12-14,42354.72
1_2_2012-12-21,43991.18
1_2_2012-12-28,43539.94
1_2_2013-01-04,43353.09
1_2_2013-01-11,43353.09
1_2_2013-01-18,42354.72
1_2_2013-01-25,41556.23
1_2_2013-02-01,45008.22
1_2_2013-02-08,49424.06
1_2_2013-02-15,49424.06
1_2_2013-02-22,49424.06
1_2_2013-03-01,46529.68
1_2_2013-03-08,44796.03
1_2_2013-03-15,43753.43
1_2_2013-03-22,46729.91
1_2_2013-03-29,46529.68
1_2_2013-04-05,44936.47
1_2_2013-04-12,43753.43
1_2_2013-04-19,43134.88
1_2_2013-04-26,41556.23
1_2_2013-05-03,41556.23
1_2_2013-05-10,43541.07
1_2_2013-05-17,44493.61
1_2_2013-05-24,44411.95
1_2_2013-05-31,41556.23
1_2_2013-06-07,45561.85
1_2_2013-06-14,46729.91
1_2_2013-06-21,44411.95
1_2_2013-06-28,45108.22
1_2_2013-07-05,44411.95
1_2_2013-07-12,44411.95
1_2_2013-07-19,45561.85
1_2_2013-07-26,41556.23
1_3_2012-11-02,10342.72
1_3_2012-11-09,8473.71
1_3_2012-11-16,11925.71
1_3_2012-11-23,13667.88
1_3_2012-11-30,10487.17
1_3_2012-12-07,43712.78
1_3_2012-12-14,11702.08
1_3_2012-12-21,10342.72
1_3_2012-12-28,10237.78
1_3_2013-01-04,10237.78
1_3_2013-01-11,10237.78
1_3_2013-01-18,11702.08
1_3_2013-01-25,10613.17
